ByteBit,ByteBit_Description,Size,Type,Name
0 [0],SID-RQ,1 [0],-,-
1 [0],RecordDataIdentifier,2 [0],-,-
0 [0],SID-PR,1 [0],-,-
1 [0],RecordDataIdentifier,2 [0],-,-
3 [0],BCM - Master_2IBS_Init - IBS3_QuiesCurr_Lmt,1 [0],"-250 to 0 mA (1,-250,0)",124956
4 [0],BCM - Master_2IBS_Init - IBS3_ChargeCurr_Lmt,1 [0],"0 to 2500 mA (10,0,0)",124949
5 [0],BCM - Master_2IBS_Init - IBS3_MinVolt_Lmt,1 [0],"0 to 25.4 V (0.1,0,1)",124955
6 [0],BCM - Master_2IBS_Init - IBS3_MinCharge_Lmt,1 [0],"0 to 100 %( 1,0,0)",124954
7 [0],BCM - Master_2IBS_Init - IBS3_BattType,0 [6],"0 to 63 Battery Type (1,0,0)",124957
7 [6],BCM - Master_2IBS_Init - IBS3_Batt_Technology,0 [2],IBS3_Batt_Technology,179265
8 [0],BCM - Master_2IBS_Init - IBS3_Battery_C0_F,0 [6],"90000 to 405000 F(5000,0,0)",76290
8 [6],BCM - Master_2IBS_Init - IBS3_BatteryId_mode,0 [2],IBS3_BatteryId_mode,179264
9 [0],BCM - Master_2IBS_Init - IBS3_BatteryCapacity_Ah,0 [7],"0 to 252 Ah (2,0,0)",124945
9 [7],Reserved,0 [1],1 Bit Identical,11046
10 [0],BCM - Master_2IBS_Init - IBS3_U00_max,0 [6],"12.7 to 13.33 V (0.01,12.7,2)",76266
10 [6],BCM - Master_2IBS_Init - IBS3_ActivateMWU,0 [1],False / True,32688
10 [7],BCM - Master_2IBS_Init - IBS3_QUS_Cur_Mon,0 [1],False / True,32688
11 [0],BCM - MasterReq - MasterReqB0,1 [0],MasterReq (IBS3),214191
12 [0],BCM - MasterReq - MasterReqB1,1 [0],MasterReq (IBS3),214191
13 [0],BCM - MasterReq - MasterReqB2,1 [0],MasterReq (IBS3),214191
14 [0],BCM - MasterReq - MasterReqB3,1 [0],MasterReq (IBS3),214191
15 [0],BCM - MasterReq - MasterReqB4,1 [0],MasterReq (IBS3),214191
16 [0],BCM - MasterReq - MasterReqB5,1 [0],MasterReq (IBS3),214191
17 [0],BCM - MasterReq - MasterReqB6,1 [0],MasterReq (IBS3),214191
18 [0],BCM - MasterReq - MasterReqB7,1 [0],MasterReq (IBS3),214191
19 [0],IBS3 - IBS_Fast1 - SOF_V_StartRequest,0 [7],"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
19 [7],IBS3 - IBS_Fast1 - SOF_EngineRunning,0 [1],Charge / Discharge,177057
20 [0],IBS3 - IBS_Fast1 - IBS3_SOF_V_Accuracy,0 [1],Inaccurate / Accurate,177066
20 [1],IBS3 - IBS_Fast1 - Flag_Batt_Line_Open,0 [1],Close / Open,19020
20 [2],Reserved,0 [6],6 Bit Identical,10029
21 [0],IBS3 - IBS_Fast1 - IBS3_SOF_V,0 [7],"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
21 [7],IBS3 - IBS_Fast1 - VoltBattFailStatus,0 [1],Fail not present / Fail present,179305
22 [0],IBS3 - IBS_Fast1 - IBS3_SOF_VF,0 [7],"5 to 11.3 V (0.05, 5, 1) (7bit)",124903
22 [7],IBS3 - IBS_Fast1 - CurrBattFailStatus,0 [1],Fail not present / Fail present,179305
